characterID	movieID	movie title	gender
u0	m0	10 things i hate about you	f
u2	m0	10 things i hate about you	m
u4	m0	10 things i hate about you	m
u5	m0	10 things i hate about you	f
u6	m0	10 things i hate about you	f
u7	m0	10 things i hate about you	m
u9	m0	10 things i hate about you	m
u11	m0	10 things i hate about you	m
u16	m1	1492: conquest of paradise	m
u19	m1	1492: conquest of paradise	m
u26	m2	15 minutes	m
u27	m2	15 minutes	f
u29	m2	15 minutes	m
u30	m2	15 minutes	m
u34	m2	15 minutes	m
u35	m2	15 minutes	m
u41	m2	15 minutes	f
u42	m2	15 minutes	m
u50	m3	2001: a space odyssey	m
u56	m3	2001: a space odyssey	m
u60	m3	2001: a space odyssey	m
u67	m4	48 hrs.	m
u68	m4	48 hrs.	f
u71	m4	48 hrs.	m
u78	m5	the fifth element	m
u84	m5	the fifth element	m
u85	m5	the fifth element	f
u100	m6	8mm	f
u103	m6	8mm	m
u105	m6	8mm	m
u106	m6	8mm	m
u108	m6	8mm	m
u109	m6	8mm	M
u110	m6	8mm	M
u114	m6	8mm	m
u115	m7	a nightmare on elm street 4: the dream master	f
u116	m7	a nightmare on elm street 4: the dream master	m
u123	m8	a nightmare on elm street: the dream child	f
u128	m8	a nightmare on elm street: the dream child	m
u130	m8	a nightmare on elm street: the dream child	f
u131	m9	the atomic submarine	m
u132	m9	the atomic submarine	m
u135	m9	the atomic submarine	m
u139	m10	affliction	f
u142	m10	affliction	m
u143	m10	affliction	f
u144	m10	affliction	m
u147	m10	affliction	f
u152	m10	affliction	m
u153	m10	affliction	m
u154	m10	affliction	m
u169	m11	air force one	m
u174	m11	air force one	m
u180	m12	airplane ii: the sequel	f
u191	m12	airplane ii: the sequel	m
u193	m12	airplane ii: the sequel	m
u198	m13	airplane!	f
u214	m13	airplane!	m
u218	m14	alien nation	M
u224	m14	alien nation	m
u229	m15	aliens	m
u230	m15	aliens	m
u232	m15	aliens	m
u236	m15	aliens	f
u237	m15	aliens	f
u244	m16	amadeus	f
u247	m16	amadeus	f
u251	m16	amadeus	m
u252	m16	amadeus	m
u253	m16	amadeus	f
u255	m16	amadeus	m
u257	m16	amadeus	m
u260	m16	amadeus	m
u261	m16	amadeus	m
u266	m16	amadeus	m
u269	m17	an american werewolf in london	f
u274	m17	an american werewolf in london	m
u275	m17	an american werewolf in london	M
u276	m17	an american werewolf in london	m
u286	m18	american madness	m
u287	m18	american madness	m
u288	m18	american madness	m
u292	m18	american madness	f
u297	m18	american madness	m
u299	m18	american madness	f
u306	m19	american outlaws	m
u308	m19	american outlaws	m
u312	m19	american outlaws	m
u313	m19	american outlaws	m
u320	m19	american outlaws	m
u322	m19	american outlaws	m
u323	m19	american outlaws	m
u326	m19	american outlaws	f
u327	m20	american psycho	m
u331	m20	american psycho	f
u333	m20	american psycho	f
u334	m20	american psycho	f
u335	m20	american psycho	m
u336	m20	american psycho	f
u337	m20	american psycho	m
u344	m21	antitrust	f
u349	m21	antitrust	m
u353	m21	antitrust	f
u354	m21	antitrust	m
u360	m22	austin powers: international man of mystery	f
u362	m22	austin powers: international man of mystery	m
u363	m22	austin powers: international man of mystery	m
u367	m22	austin powers: international man of mystery	m
u375	m22	austin powers: international man of mystery	m
u377	m22	austin powers: international man of mystery	f
u380	m23	the avengers	f
u382	m23	the avengers	m
u383	m23	the avengers	m
u387	m23	the avengers	m
u388	m23	the avengers	f
u392	m24	bachelor party	m
u393	m24	bachelor party	f
u403	m24	bachelor party	m
u406	m24	bachelor party	m
u412	m25	backdraft	m
u416	m25	backdraft	f
u417	m25	backdraft	f
u420	m25	backdraft	m
u421	m25	backdraft	m
u425	m26	bad lieutenant	f
u431	m26	bad lieutenant	m
u432	m26	bad lieutenant	m
u439	m27	bamboozled	m
u441	m27	bamboozled	m
u445	m27	bamboozled	m
u447	m27	bamboozled	m
u450	m27	bamboozled	f
u451	m27	bamboozled	M
u452	m27	bamboozled	f
u456	m28	barry lyndon	m
u457	m28	barry lyndon	m
u459	m28	barry lyndon	m
u461	m28	barry lyndon	F
u473	m28	barry lyndon	M
u478	m29	basic	m
u479	m29	basic	m
u480	m29	basic	m
u482	m29	basic	f
u483	m29	basic	m
u485	m29	basic	m
u488	m30	big fish	m
u492	m30	big fish	M
u493	m30	big fish	f
u494	m30	big fish	f
u497	m30	big fish	f
u498	m30	big fish	m
u501	m31	birthday girl	m
u502	m31	birthday girl	f
u504	m31	birthday girl	m
u505	m32	black snake moan	f
u509	m32	black snake moan	m
u511	m32	black snake moan	m
u514	m32	black snake moan	M
u515	m32	black snake moan	f
u516	m32	black snake moan	m
u517	m32	black snake moan	f
u519	m32	black snake moan	m
u520	m33	black rain	m
u523	m33	black rain	f
u525	m33	black rain	m
u526	m33	black rain	m
u529	m34	blade runner	m
u532	m34	blade runner	m
u539	m34	blade runner	f
u540	m34	blade runner	f
u542	m34	blade runner	m
u547	m35	blast from the past	m
u553	m35	blast from the past	m
u556	m35	blast from the past	f
u557	m35	blast from the past	f
u567	m35	blast from the past	m
u570	m36	blue velvet	m
u571	m36	blue velvet	f
u574	m36	blue velvet	m
u580	m36	blue velvet	f
u585	m37	the boondock saints	m
u589	m37	the boondock saints	m
u592	m37	the boondock saints	m
