characterID	movieID	movie title	gender
u1	m0	10 things i hate about you	?
u3	m0	10 things i hate about you	?
u8	m0	10 things i hate about you	?
u10	m0	10 things i hate about you	?
u12	m1	1492: conquest of paradise	?
u13	m1	1492: conquest of paradise	?
u14	m1	1492: conquest of paradise	?
u15	m1	1492: conquest of paradise	?
u17	m1	1492: conquest of paradise	?
u18	m1	1492: conquest of paradise	?
u20	m1	1492: conquest of paradise	?
u21	m1	1492: conquest of paradise	?
u22	m1	1492: conquest of paradise	?
u23	m1	1492: conquest of paradise	?
u24	m1	1492: conquest of paradise	?
u25	m1	1492: conquest of paradise	?
u28	m2	15 minutes	?
u31	m2	15 minutes	?
u32	m2	15 minutes	?
u33	m2	15 minutes	?
u36	m2	15 minutes	?
u37	m2	15 minutes	?
u38	m2	15 minutes	?
u39	m2	15 minutes	?
u40	m2	15 minutes	?
u43	m2	15 minutes	?
u44	m2	15 minutes	?
u45	m2	15 minutes	?
u46	m2	15 minutes	?
u47	m2	15 minutes	?
u48	m2	15 minutes	?
u49	m3	2001: a space odyssey	?
u51	m3	2001: a space odyssey	?
u52	m3	2001: a space odyssey	?
u53	m3	2001: a space odyssey	?
u54	m3	2001: a space odyssey	?
u55	m3	2001: a space odyssey	?
u57	m3	2001: a space odyssey	?
u58	m3	2001: a space odyssey	?
u59	m3	2001: a space odyssey	?
u61	m3	2001: a space odyssey	?
u62	m4	48 hrs.	?
u63	m4	48 hrs.	?
u64	m4	48 hrs.	?
u65	m4	48 hrs.	?
u66	m4	48 hrs.	?
u69	m4	48 hrs.	?
u70	m4	48 hrs.	?
u72	m4	48 hrs.	?
u73	m4	48 hrs.	?
u74	m4	48 hrs.	?
u75	m4	48 hrs.	?
u76	m4	48 hrs.	?
u77	m4	48 hrs.	?
u79	m5	the fifth element	?
u80	m5	the fifth element	?
u81	m5	the fifth element	?
u82	m5	the fifth element	?
u83	m5	the fifth element	?
u86	m5	the fifth element	?
u87	m5	the fifth element	?
u88	m5	the fifth element	?
u89	m5	the fifth element	?
u90	m5	the fifth element	?
u91	m5	the fifth element	?
u92	m5	the fifth element	?
u93	m5	the fifth element	?
u94	m5	the fifth element	?
u95	m5	the fifth element	?
u96	m5	the fifth element	?
u97	m5	the fifth element	?
u98	m5	the fifth element	?
u99	m5	the fifth element	?
u101	m6	8mm	?
u102	m6	8mm	?
u104	m6	8mm	?
u107	m6	8mm	?
u111	m6	8mm	?
u112	m6	8mm	?
u113	m6	8mm	?
u117	m7	a nightmare on elm street 4: the dream master	?
u118	m7	a nightmare on elm street 4: the dream master	?
u119	m7	a nightmare on elm street 4: the dream master	?
u120	m7	a nightmare on elm street 4: the dream master	?
u121	m7	a nightmare on elm street 4: the dream master	?
u122	m7	a nightmare on elm street 4: the dream master	?
u124	m8	a nightmare on elm street: the dream child	?
u125	m8	a nightmare on elm street: the dream child	?
u126	m8	a nightmare on elm street: the dream child	?
u127	m8	a nightmare on elm street: the dream child	?
u129	m8	a nightmare on elm street: the dream child	?
u133	m9	the atomic submarine	?
u134	m9	the atomic submarine	?
u136	m9	the atomic submarine	?
u137	m9	the atomic submarine	?
u138	m9	the atomic submarine	?
u140	m10	affliction	?
u141	m10	affliction	?
u145	m10	affliction	?
u146	m10	affliction	?
u148	m10	affliction	?
u149	m10	affliction	?
u150	m10	affliction	?
u151	m10	affliction	?
u155	m11	air force one	?
u156	m11	air force one	?
u157	m11	air force one	?
u158	m11	air force one	?
u159	m11	air force one	?
u160	m11	air force one	?
u161	m11	air force one	?
u162	m11	air force one	?
u163	m11	air force one	?
u164	m11	air force one	?
u165	m11	air force one	?
u166	m11	air force one	?
u167	m11	air force one	?
u168	m11	air force one	?
u170	m11	air force one	?
u171	m11	air force one	?
u172	m11	air force one	?
u173	m11	air force one	?
u175	m11	air force one	?
u176	m11	air force one	?
u177	m11	air force one	?
u178	m12	airplane ii: the sequel	?
u179	m12	airplane ii: the sequel	?
u181	m12	airplane ii: the sequel	?
u182	m12	airplane ii: the sequel	?
u183	m12	airplane ii: the sequel	?
u184	m12	airplane ii: the sequel	?
u185	m12	airplane ii: the sequel	?
u186	m12	airplane ii: the sequel	?
u187	m12	airplane ii: the sequel	?
u188	m12	airplane ii: the sequel	?
u189	m12	airplane ii: the sequel	?
u190	m12	airplane ii: the sequel	?
u192	m12	airplane ii: the sequel	?
u194	m12	airplane ii: the sequel	?
u195	m13	airplane!	?
u196	m13	airplane!	?
u197	m13	airplane!	?
u199	m13	airplane!	?
u200	m13	airplane!	?
u201	m13	airplane!	?
u202	m13	airplane!	?
u203	m13	airplane!	?
u204	m13	airplane!	?
u205	m13	airplane!	?
u206	m13	airplane!	?
u207	m13	airplane!	?
u208	m13	airplane!	?
u209	m13	airplane!	?
u210	m13	airplane!	?
u211	m13	airplane!	?
u212	m13	airplane!	?
u213	m13	airplane!	?
u215	m14	alien nation	?
u216	m14	alien nation	?
u217	m14	alien nation	?
u219	m14	alien nation	?
u220	m14	alien nation	?
u221	m14	alien nation	?
u222	m14	alien nation	?
u223	m14	alien nation	?
u225	m14	alien nation	?
u226	m14	alien nation	?
u227	m14	alien nation	?
u228	m15	aliens	?
u231	m15	aliens	?
u233	m15	aliens	?
u234	m15	aliens	?
u235	m15	aliens	?
u238	m15	aliens	?
u239	m15	aliens	?
u240	m15	aliens	?
u241	m16	amadeus	?
u242	m16	amadeus	?
u243	m16	amadeus	?
u245	m16	amadeus	?
u246	m16	amadeus	?
u248	m16	amadeus	?
u249	m16	amadeus	?
u250	m16	amadeus	?
u254	m16	amadeus	?
u256	m16	amadeus	?
u258	m16	amadeus	?
u259	m16	amadeus	?
u262	m16	amadeus	?
u263	m16	amadeus	?
u264	m16	amadeus	?
u265	m16	amadeus	?
u267	m16	amadeus	?
u268	m16	amadeus	?
u270	m17	an american werewolf in london	?
u271	m17	an american werewolf in london	?
u272	m17	an american werewolf in london	?
u273	m17	an american werewolf in london	?
u277	m17	an american werewolf in london	?
u278	m17	an american werewolf in london	?
u279	m17	an american werewolf in london	?
u280	m17	an american werewolf in london	?
u281	m17	an american werewolf in london	?
u282	m17	an american werewolf in london	?
u283	m17	an american werewolf in london	?
u284	m18	american madness	?
u285	m18	american madness	?
u289	m18	american madness	?
u290	m18	american madness	?
u291	m18	american madness	?
u293	m18	american madness	?
u294	m18	american madness	?
u295	m18	american madness	?
u296	m18	american madness	?
u298	m18	american madness	?
u300	m18	american madness	?
u301	m18	american madness	?
u302	m18	american madness	?
u303	m18	american madness	?
u304	m18	american madness	?
u305	m18	american madness	?
u307	m19	american outlaws	?
u309	m19	american outlaws	?
u310	m19	american outlaws	?
u311	m19	american outlaws	?
u314	m19	american outlaws	?
u315	m19	american outlaws	?
u316	m19	american outlaws	?
u317	m19	american outlaws	?
u318	m19	american outlaws	?
u319	m19	american outlaws	?
u321	m19	american outlaws	?
u324	m19	american outlaws	?
u325	m19	american outlaws	?
u328	m20	american psycho	?
u329	m20	american psycho	?
u330	m20	american psycho	?
u332	m20	american psycho	?
u338	m20	american psycho	?
u339	m20	american psycho	?
u340	m20	american psycho	?
u341	m20	american psycho	?
u342	m20	american psycho	?
u343	m20	american psycho	?
u345	m21	antitrust	?
u346	m21	antitrust	?
u347	m21	antitrust	?
u348	m21	antitrust	?
u350	m21	antitrust	?
u351	m21	antitrust	?
u352	m21	antitrust	?
u355	m21	antitrust	?
u356	m21	antitrust	?
u357	m21	antitrust	?
u358	m21	antitrust	?
u359	m21	antitrust	?
u361	m22	austin powers: international man of mystery	?
u364	m22	austin powers: international man of mystery	?
u365	m22	austin powers: international man of mystery	?
u366	m22	austin powers: international man of mystery	?
u368	m22	austin powers: international man of mystery	?
u369	m22	austin powers: international man of mystery	?
u370	m22	austin powers: international man of mystery	?
u371	m22	austin powers: international man of mystery	?
u372	m22	austin powers: international man of mystery	?
u373	m22	austin powers: international man of mystery	?
u374	m22	austin powers: international man of mystery	?
u376	m22	austin powers: international man of mystery	?
u378	m23	the avengers	?
u379	m23	the avengers	?
u381	m23	the avengers	?
u384	m23	the avengers	?
u385	m23	the avengers	?
u386	m23	the avengers	?
u389	m23	the avengers	?
u390	m24	bachelor party	?
u391	m24	bachelor party	?
u394	m24	bachelor party	?
u395	m24	bachelor party	?
u396	m24	bachelor party	?
u397	m24	bachelor party	?
u398	m24	bachelor party	?
u399	m24	bachelor party	?
u400	m24	bachelor party	?
u401	m24	bachelor party	?
u402	m24	bachelor party	?
u404	m24	bachelor party	?
u405	m24	bachelor party	?
u407	m24	bachelor party	?
u408	m24	bachelor party	?
u409	m24	bachelor party	?
u410	m24	bachelor party	?
u411	m25	backdraft	?
u413	m25	backdraft	?
u414	m25	backdraft	?
u415	m25	backdraft	?
u418	m25	backdraft	?
u419	m25	backdraft	?
u422	m25	backdraft	?
u423	m25	backdraft	?
u424	m25	backdraft	?
u426	m26	bad lieutenant	?
u427	m26	bad lieutenant	?
u428	m26	bad lieutenant	?
u429	m26	bad lieutenant	?
u430	m26	bad lieutenant	?
u433	m26	bad lieutenant	?
u434	m26	bad lieutenant	?
u435	m27	bamboozled	?
u436	m27	bamboozled	?
u437	m27	bamboozled	?
u438	m27	bamboozled	?
u440	m27	bamboozled	?
u442	m27	bamboozled	?
u443	m27	bamboozled	?
u444	m27	bamboozled	?
u446	m27	bamboozled	?
u448	m27	bamboozled	?
u449	m27	bamboozled	?
u453	m27	bamboozled	?
u454	m28	barry lyndon	?
u455	m28	barry lyndon	?
u458	m28	barry lyndon	?
u460	m28	barry lyndon	?
u462	m28	barry lyndon	?
u463	m28	barry lyndon	?
u464	m28	barry lyndon	?
u465	m28	barry lyndon	?
u466	m28	barry lyndon	?
u467	m28	barry lyndon	?
u468	m28	barry lyndon	?
u469	m28	barry lyndon	?
u470	m28	barry lyndon	?
u471	m28	barry lyndon	?
u472	m28	barry lyndon	?
u474	m28	barry lyndon	?
u475	m28	barry lyndon	?
u476	m29	basic	?
u477	m29	basic	?
u481	m29	basic	?
u484	m29	basic	?
u486	m29	basic	?
u487	m29	basic	?
u489	m30	big fish	?
u490	m30	big fish	?
u491	m30	big fish	?
u495	m30	big fish	?
u496	m30	big fish	?
u499	m31	birthday girl	?
u500	m31	birthday girl	?
u503	m31	birthday girl	?
u506	m32	black snake moan	?
u507	m32	black snake moan	?
u508	m32	black snake moan	?
u510	m32	black snake moan	?
u512	m32	black snake moan	?
u513	m32	black snake moan	?
u518	m32	black snake moan	?
u521	m33	black rain	?
u522	m33	black rain	?
u524	m33	black rain	?
u527	m33	black rain	?
u528	m33	black rain	?
u530	m34	blade runner	?
u531	m34	blade runner	?
u533	m34	blade runner	?
u534	m34	blade runner	?
u535	m34	blade runner	?
u536	m34	blade runner	?
u537	m34	blade runner	?
u538	m34	blade runner	?
u541	m34	blade runner	?
u543	m34	blade runner	?
u544	m34	blade runner	?
u545	m34	blade runner	?
u546	m34	blade runner	?
u548	m35	blast from the past	?
u549	m35	blast from the past	?
u550	m35	blast from the past	?
u551	m35	blast from the past	?
u552	m35	blast from the past	?
u554	m35	blast from the past	?
u555	m35	blast from the past	?
u558	m35	blast from the past	?
u559	m35	blast from the past	?
u560	m35	blast from the past	?
u561	m35	blast from the past	?
u562	m35	blast from the past	?
u563	m35	blast from the past	?
u564	m35	blast from the past	?
u565	m35	blast from the past	?
u566	m35	blast from the past	?
